"Regency/City,Rambutan"
"Simeulue,0.001"
"Aceh Singkil,0.002"
"Aceh Selatan,0.002"
"Aceh Tenggara,0.001"
"Aceh Timur,0.003"
"Aceh Tengah,0.008"
"Aceh Barat,0.003"
"Aceh Besar,0.009"
"Pidie,0.007"
"Bireuen,0.003"
"Aceh Utara,0.007"
"Aceh Barat Daya,0.001"
"Gayo Lues,0.016"
"Aceh Tamiang,0.001"
"Nagan Raya,0.013"
"Aceh Jaya,0.001"
"Bener Meriah,0.03"
"Pidie Jaya,0.029"
"Kota Banda Aceh,0.005"
"Kota Sabang,0.012"
"Kota Langsa,0.09025258799171844"
"Kota Lhokseumawe,0.09025258799171844"
"Kota Subulussalam,0.002"
"Nias,0.09025258799171844"
"Mandailing Natal,0.004"
"Tapanuli Selatan,0.012"
"Tapanuli Tengah,0.09025258799171844"
"Tapanuli Utara,0.003"
"Toba Samosir,0.004"
"Labuhan Batu,0.008"
"Asahan,0.003"
"Simalungun,0.004"
"Dairi,0.003"
"Karo,0.004"
"Deli Serdang,0.001"
"Langkat,0.002"
"Nias Selatan,0.09025258799171844"
"Humbang Hasundutan,0.09025258799171844"
"Pakpak Bharat,0.001"
"Samosir,0.09025258799171844"
"Serdang Bedagai,0.001"
"Batu Bara,0.09025258799171844"
"Padang Lawas Utara,0.004"
"Padang Lawas,0.003"
"Labuhan Batu Selatan,0.002"
"Labuhan Batu Utara,0.006"
"Nias Utara,0.09025258799171844"
"Nias Barat,0.09025258799171844"
"Kota Sibolga,0.09025258799171844"
"Kota Tanjung Balai,0.011"
"Kota Pematang Siantar,0.002"
"Kota Tebing Tinggi,0.003"
"Kota Medan,0.09025258799171844"
"Kota Binjai,0.09025258799171844"
"Kota Padangsidimpuan,0.001"
"Kota Gunungsitoli,0.001"
"Kepulauan Mentawai,0.13"
"Pesisir Selatan,0.025"
"Solok,0.019"
"Sijunjung,0.082"
"Tanah Datar,0.031"
"Padang Pariaman,0.009"
"Agam,0.009"
"Lima Puluh Kota,0.011"
"Pasaman,0.009"
"Solok Selatan,0.039"
"Dharmasraya,0.169"
"Pasaman Barat,0.003"
"Kota Padang,0.006"
"Kota Solok,0.005"
"Kota Sawah Lunto,0.024"
"Kota Padang Panjang,0.004"
"Kota Bukittinggi,0.001"
"Kota Payakumbuh,0.007"
"Kota Pariaman,0.001"
"Kuantan Singingi,0.075"
"Indragiri Hulu,0.057"
"Indragiri Hilir,0.07"
"Pelalawan,0.041"
"Siak,0.003"
"Kampar,0.007"
"Rokan Hulu,0.02"
"Bengkalis,0.001"
"Rokan Hilir,0.004"
"Kepulauan Meranti,0.004"
"Kota Pekanbaru,0.09025258799171844"
"Kota Dumai,0.09025258799171844"
"Kerinci,0.041"
"Merangin,0.231"
"Sarolangun,0.244"
"Batang Hari,0.163"
"Muaro Jambi,0.21"
"Tanjung Jabung Timur,0.141"
"Tanjung Jabung Barat,0.091"
"Tebo,0.218"
"Bungo,0.225"
"Kota Jambi,0.132"
"Kota Sungai Penuh,0.009"
"Ogan Komering Ulu,0.13"
"Ogan Komering Ilir,0.175"
"Muara Enim,0.206"
"Lahat,0.168"
"Musi Rawas,0.291"
"Musi Banyuasin,0.268"
"Banyu Asin,0.215"
