Problem Name,Category,Cause,Symptoms,Impact,Solution
Anthracnose,Fungal Disease,Colletotrichum spp.,"Round grey areas on leaves, dark spots on fruits, necrotic lesions","Fruit decay, yield loss","Fungicides, manage humidity"
Powdery Mildew,Fungal Disease,Oidium nephelii,"White powdery growth on leaves, premature fruit drop",Reduced fruit quantity,"Sulfur treatments, copper sprays"
Stem Cancer,Fungal Disease,Dolabra nepheliae,Disfigurement on the surface of the branches and twigs of rambutan trees,Reduced fruit quantity,"Sulfur treatments, copper sprays"
Stem Cancer,Fungal Disease,Thyronectria pseudotrichia,"Disfigurement on branches, dieback","Structural damage, reduced yield","Prune for air circulation, fungicide sprays"
Leaf Spot,Fungal Disease,"Presence of fungal infection (Pseudocercospora nephelii), Colletotrichum or Pestalotiopsis","These spots can vary in color, typically appearing as dark brown, black, or even yellow, depending on the specific underlying cause.",Premature leaf drop and subsequent decay of the fruit,"A simple home remedy, such as baking soda, can treat fungal leaf spots, while copper sprays work well for bacterial leaf spots."
Dark Blotch,Fungal Disease,Planococcus citri,"Noticeable damage to both leaves and fruits,  irregular dark spots","Reduction in the plant's photosynthetic activity, compromise its overall growth, and result in a lower quality of the fruit",Spray with a fungicide containing myclobutanil
Corky Bark Disease,Fungal Disease,Dolabra nepheliae,"Noticeable disfigurement of the bark, branches and fruit",Structural components of the tree,"Pruning diseased areas, and in some cases, using copper-based fungicides or resistant cultivars"
Other Fungal Issues,Fungal Disease,"generally susceptible to a variety of fungal issues, often triggered by humid conditions, poor air circulation","Can manifest as leaf spots, powdery mildew, or blights",Structural components of the tree,"Pruning diseased areas, good air circulation, avoiding overhead watering, and when fungal diseases do occur, using fungicides, copper-based fungicides or resistant cultivars"
Stem-End Rot,Bacterial Diseases,Botryodiplodia theobromae,"Stem-end rot include the development of a dark brown lesion on the entire fruit, flesh of the fruit becomes soft, brown, and semi-liquid",Structural components of the tree,"It is recommended to avoid injury to the fruit during harvest, including the practice of leaving a short section of the fruit stalk intact"
Fruit Flies,Insect Pests,"Bactrocera dorsalis, Ceratitis capitata",Pest that attacks very ripe rambutan fruits,"Infestation of fruit flies, bacteria, etc. Also adds both cost and complexity to the export process","The need for post-harvest treatments such as disinfestation treatment, irradiation and heat treatment"
Mealybugs,Insect Pest,Planococcus citri,Small white cotton-like masses on leaves and fruits,"Weakens plant vigor, reduces marketability",Integrated pest management
Spider Mites,Insect Pest,Planococcus citri,Cause considerable damage to rambutan leaves and fruits by feeding on the plant's sap,Weaken the plant and potentially reduce its overall productivity,"The most reliable and cost-effective way is to create simple yet powerful homemade insecticidal sprays–using organic products such as neem oil, soapy water, liquid seaweed, garlic, essential oils, or molasses–and to treat plants thoroughly and regularly for several weeks"
Leaf-eating Insects,Insect Pest,"Hyperaeschrella insulicola, loopers ",Irregular holes in the leaves,"Defoliation reduces the plant's ability to photosynthesize, negatively impact its growth and the yield of fruit","Hand picked, water spray, neem oil, insecticide soap, diatomaceus earth, bacillus thuringiensis"
Thrips,Insect Pest,Scirtothrips dorsalis,"Damage to the leaves, leaving behind silver trails and dark-colored spots","Cause cosmetic damage to both the leaves and the fruits, which can negatively impact the market quality and appearance of the produce",Insecticidal soap
Birds and Bats,Animal Pests,"Birds, flying foxes and Bats",Considerable reduction in the overall yield,Cause substantial economic losses,"Require the implementation of physical barriers, such as netting, or other deterrent methods to minimize fruit loss"
