Problem Name,Category,Cause,Symptoms,Impact,Solution
Anthracnose,Penyakit Jamur,Colletotrichum spp.,"Area abu-abu bulat pada daun, bercak hitam pada buah, lesi nekrotik","Pembusukan buah, hasil berkurang","Fungisida, pengaturan kelembapan"
Jamur Tepung,Penyakit Jamur,Oidium nephelii,"Pertumbuhan serbuk putih pada daun, gugur buah sebelum waktunya",Jumlah buah berkurang,"Pengobatan sulfur, semprotan tembaga"
Kanker Batang,Penyakit Jamur,Dolabra nepheliae,Kerusakan pada permukaan cabang dan ranting pohon rambutan,Jumlah buah berkurang,"Pengobatan sulfur, semprotan tembaga"
Kanker Batang,Penyakit Jamur,Thyronectria pseudotrichia,"Kerusakan pada cabang, pengeringan cabang","Kerusakan struktural, penurunan hasil panen","Pemangkasan untuk sirkulasi udara, semprotan fungisida"
Bercak Daun,Penyakit Jamur,"Infeksi jamur: (Pseudocercospora nephelii), Colletotrichum, atau Pestalotiopsis","Bercak yang bervariasi warna, biasanya coklat tua, hitam, atau kuning tergantung penyebabnya",Gugur daun sebelum waktunya dan pembusukan buah,"Larutan soda kue sederhana dapat mengobati bercak daun jamur, sedangkan semprotan tembaga efektif untuk bercak daun bakteri"
Bercak Gelap,Penyakit Jamur,Planococcus citri,"Kerusakan yang terlihat pada daun dan buah, bercak gelap tidak teratur","Penurunan aktivitas fotosintesis tanaman, terganggu pertumbuhannya, kualitas buah menurun",Semprot dengan fungisida yang mengandung myclobutanil
Penyakit Kulit Gabus,Penyakit Jamur,Dolabra nepheliae,"Kerusakan terlihat pada kulit pohon, cabang, dan buah",Kerusakan struktural pada pohon,"Pemangkasan area yang sakit, dalam beberapa kasus menggunakan fungisida berbasis tembaga atau menanam varietas tahan penyakit"
Masalah Jamur Lainnya,Penyakit Jamur,"Rentan terhadap berbagai masalah jamur, sering dipicu oleh kondisi lembap dan sirkulasi udara yang buruk","Dapat muncul sebagai bercak daun, tepung jamur, atau penyakit blight",Kerusakan struktural pohon,"Pemangkasan area yang sakit, sirkulasi udara baik, menghindari penyiraman dari atas, dan saat penyakit jamur terjadi, gunakan fungisida, fungisida berbasis tembaga, atau varietas tahan penyakit"
Busuk Pada Batang Bawah,Penyakit Bakteri,Botryodiplodia theobromae,"Luka coklat tua di ujung batang buah, daging buah menjadi lembek, coklat, dan semi-cair",Kerusakan struktural pada pohon atau buah,"Hindari melukai buah saat panen, termasuk menyisakan sedikit batang buah yang masih menempel"
Lalat Buah,Hama Seranggas,"Bactrocera dorsalis, Ceratitis capitata",Hama yang menyerang buah rambutan sangat matang,"Infestasi lalat buah, bakteri, dll. Juga menambah biaya dan kompleksitas proses ekspor karena melalui karantina","Perlakuan pasca-panen seperti disinfeksi, iradiasi, dan perlakuan panas"
Kutu Putih,Hama Serangga,Planococcus citri,Massa putih kecil seperti kapas pada daun dan buah,"Melemahkan vigor tanaman, mengurangi nilai jual",Manajemen hama terpadu
Tungau Laba-Laba,Hama Serangga,Planococcus citri,Menimbulkan kerusakan pada daun dan buah rambutan dengan menghisap getah tanaman,Melemahkan tanaman dan berpotensi mengurangi produktivitas,"Semprotan insektisida buatan sendiri yang menggunakan produk organik seperti minyak neem, air sabun, rumput laut cair, bawang putih, minyak esensial, atau molase serta merawat tanaman secara menyeluruh dan teratur selama beberapa minggu"
Serangga Pemakan Daun,Hama Serangga,"Hyperaeschrella insulicola, loopers ",Lubang tidak teratur pada daun,"Pengguguran daun mengurangi kemampuan tanaman untuk fotosintesis, berdampak buruk pada pertumbuhan dan hasil buah","Mengambil hama secara manual, semprot air, minyak neem, sabun insektisida, debu diatom, Bacillus thuringiensis"
Kutu Thrips,Hama Serangga,Scirtothrips dorsalis,"Kerusakan pada daun, meninggalkan jejak perak dan bercak berwarna gelap",Merusak tampilan estetika daun dan buah sehingga menurunkan kualitas produk di pasar,Sabun insektisida
Burung dan Kelelawar,Hama Hewan,"Burung, tupai terbang dan kelelawar",Mengurangi hasil panen secara signifikan,Menyebabkan kerugian ekonomi yang besar,"Membutuhkan pemasangan penghalang fisik seperti jaring, atau metode pengusir lainnya untuk mengurangi kehilangan buah"
Curah Hujan,Kondisi Cuaca,Curah Hujan Tinggi,"Hujan deras, La Nina, El Nino, dll","Hujan deras selama masa berbunga dapat berbahaya karena mendorong pertumbuhan vegetatif daripada perkembangan bunga, menurunkan hasil rambutan",Penyesuaian waktu tanam rambutan
Temperatur,Iklim Lingkungan,Suhu udara terlalu tinggi atau terlalu rendah,"Secara langsung memengaruhi pertumbuhan, menyebabkan defoliasi, dan memengaruhi perkembangan malai dan pembentukan buah","Tanaman ini sangat sensitif terhadap suhu rendah, suhu di bawah 10°C dapat berdampak buruk pada pertumbuhannya, menyebabkan gugurnya daun, dan berdampak pada munculnya malai serta pembuahan selanjutnya.14 Suhu tinggi yang melebihi 40°C juga dapat berdampak buruk pada pertumbuhan dan perkembangan tanaman.","Lokasi terbaik untuk rambutan adalah sekitar 12 hingga 15 derajat khatulistiwa, iklim panas dan lembap adalah yang terbaik"
Kelembapan,Iklim Lingkungan,Kelembapan rendah,"Tidak ada buah, ukuran buah kecil, hasil panen sedikit, dll",Dampak negatif pada perkembangan buah,"Penyemprotan daun secara teratur, menanam di daerah dengan kelembapan tinggi adalah pilihan terbaik"
Jenis Tanah,Karakteristik tanah,Jenis tanah atau lokasi tidak cocok untuk rambutan,"Pemilihan lokasi yang tidak tepat dapat menyebabkan genangan air, hal ini dapat berdampak negatif pada kesehatan akar. Kurang nutrisi, dst",Dampak negatif pada perkembangan dan produksi buah,"Tanah berpasir dengan drainase baik hingga tanah lempung liat yang kaya akan bahan organik, lahan dengan sedikit kemiringan cenderung menunjukkan kinerja yang lebih baik"
Keasaman Tanah,Karakteristik tanah,Kadar tanah asam atau basa/alkali rendah,"Tidak ada buah, ukuran buah kecil, hasil panen sedikit, rasa buah asam atau kurang manis",Dampak negatif pada perkembangan buah,"Menjaga kisaran pH tanah ideal antara 4.5 dan 6.5, dengan kondisi tanah sedikit asam atau netral"
Kekurangan Nitrogen,Kekurangan Nutrisi,Kekurangan nitrogen,"Pertumbuhan terhambat, daun menguning, dan produksi buah yang buruk","Produksi buah yang buruk, nilai jual rendah","Pupuk berbasis nitrogen, tepung bulu, tepung biji kapas, emulsi ikan, tepung kuku dan tanduk, kompos, minyak nimba, kotoran kelelawar"
Kekurangan Potassium / Kalium,Kekurangan Nutrisi,Kekurangan Potassium / Kalium,"Tepi daun menguning atau cokelat, dengan tampilan hangus","Produksi buah yang buruk, mengurangi kemampuan tanaman untuk berfotosintesis, berdampak negatif pada pertumbuhan dan hasil buah","Pupuk berbasis kalium / potassium, kulit pisang, abu kayu, pupuk kandang, kompos, emulsi ikan, debu granit, kotoran kelelawar"
Kekurangan Zat Besi dan Seng,Kekurangan Nutrisi,Kekurangan Zat Besi dan Seng,"Daun menguning, kondisi yang dikenal sebagai klorosis","Produksi buah yang buruk, mengurangi kemampuan tanaman untuk berfotosintesis, berdampak negatif pada pertumbuhan dan hasil buah","Pupuk berbasis Zat Besi dan Seng, besi kelat, besi sulfat, kompos, pupuk kandang, seng sulfat (ZnSO 4), seng oksida (ZnO), seng karbonat (ZnCO 3), seng sulfida (ZnS)"
Dehidrasi,Masalah pasca panen,Dehidrasi,"Kualitas buah rambutan menurun setelah dipanen, yang menyebabkan kehilangan berat dan penurunan daya tarik visualnya, kulit dan duri buah menjadi kecokelatan","Berat buah, kualitas, dan penampilan visualnya berkurang. Nilai jualnya rendah","Menjaga tingkat kelembapan yang tinggi, simpan buah dalam kantong plastik atau wadah plastik yang tertutup rapat"
Pencoklatan,Masalah pasca panen,"Dehidrasi, kerusakan fisik yang terjadi selama penanganan, serta reaksi enzimatik, terutama yang melibatkan polifenol oksidase",Pencoklatan pada kulit dan duri buah,"Poor fruit production, reduces the plant's ability to photosynthesize, negatively impact its growth and the yield of fruit","Various post-harvest treatments, such as soaking the fruit in a solution of sodium nitroprusside. Maintaining fruit quality, storing rambutan in a controlled atmosphere with elevated levels of carbon dioxide can also be effective in reducing color loss. Sell within 1 - 2 day after harvesting"
Buah Busuk,Penyakit Pasca Panen,"Berbagai patogen jamur: Colletotrichum gloeosporioides, antraknosa, Botryodiplodia theobromae, Pestalotiopsis spp",Pembusukan buah rambutan,"Umur simpan pendek, kerugian finansial","Perawatan kimia, perawatan air panas, penggunaan minyak esensial, dan biopestisida"
Busuk Ujung Batang,Penyakit pasca panen,Botryodiplodia theobromae,Busuk ujung batang meliputi perkembangan lesi cokelat tua di ujung batang buah,Pelunakan dan perubahan warna daging buah,"Praktik pemanenan dan penanganan yang hati-hati, meminimalkan kerusakan fisik pada buah, memanen buah dengan bagian batang pendek yang masih menempel"
Bercak Cokelat,Penyakit pasca panen,"Jamur, Gliocephalotrichum microchlamydosporum","Munculnya area cokelat muda, basah kuyup pada lapisan luar buah (perikarp) dan daging buah, mungkin ada pertumbuhan yang terlihat jamur miselia berwarna coklat keabu-abuan","Masa simpan pendek, kerugian finansial",Menerapkan teknik pemanenan dan penanganan yang cermat untuk mencegah kerusakan fisik pada buah sangatlah pentingtr
Daging Buah Tipis,Masalah pra-panen,Nutrisi tidak memadai dan kondisi kering segera setelah periode pembungaan,Daging Buah Tipis,Nilai Jual,"Praktik pengelolaan kebun yang tepat, termasuk pemupukan dan pasokan air yang memadai selama tahap pertumbuhan kritis"
Masa Simpan,Kondisi Penyimpanan,"Suhu, kelembapan terlalu tinggi atau rendah","Proses kerusakan alami lebih cepat, kehilangan warna","Nilai jual turun, masa simpan pendek","Pertahankan suhu optimal 8 hingga 15 derajat celcius, kelembaban relatif tinggi 90 hingga 95%. Dalam kondisi ini, buah biasanya dapat disimpan selama sekitar 14 hingga 16 hari. Gunakan atmosfer yang terkontrol, dengan komposisi 7 - 12% CO2, 3-5% O2, suhu 10 derajat celcius. Dapat membantu memperpanjang masa simpan"
